Day,Time,Hours,Category,Project,Sub Project
7/25/2024,N/A,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/26/2024,N/A,1,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/27/2024,N/A,2.75,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/28/2024,N/A,3,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/29/2024,N/A,0.5,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/30/2024,N/A,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/31/2024,N/A,1,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/1/2024,N/A,2.5,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/2/2024,N/A,1,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/3/2024,N/A,1.75,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/4/2024,N/A,1,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/5/2024,N/A,3.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/6/2024,N/A,1.75,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/7/2024,N/A,1.5,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/8/2024,N/A,1.5,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/9/2024,N/A,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
8/10/2024,N/A,0.25,Free Write,Mansfield,Outlining
8/10/2024,N/A,6.25,Querying,Sorceress,
